Group	Sl. No. 	Date	Cheque No.	Description	Amount	Category	Balance
1	1	18-Feb-26		NEFT AXOBR04940668215 EXPLA RENON HEALTHCARE PVT (Ref# NEFTINW-1496540553)	1,25,000.00 	Salary	1,29,541.56 
1	2	27-Feb-26		NEFT AXOBR05827215885 SALARYEXPLA RENON HEALTHCAR (Ref# NEFTINW-1505650962)	66,280.00 	Earning Related to Salary	1,30,565.56 
1	3	30-Mar-26		NEFT AXOBR08989249887 SALARYEXPLA RENON HEALTHCAR (Ref# NEFTINW-1538274904)	66,281.00 	Salary	71,765.56 
1	4	30-Apr-26		NEFT AXOBR12041301182 SALARYEXPLA RENON HEALTHCAR (Ref# NEFTINW-1571068352)	1,10,064.00 	Salary	1,12,269.56 
2	1	25-Feb-26		NEFT AXOBR05610523210 EXPENSES LA RENON HEALTHCAR (Ref# NEFTINW-1503335658)	9,450.00 	Earning Related to Salary	66,511.56 
2	2	16-Mar-26		NEFT AXOBR07572709416 VENDOREXPLA RENON HEALTHCAR (Ref# NEFTINW-1524106148)	14,825.00 	Earning Related to Salary	22,130.56 
2	3	24-Mar-26		NEFT AXOBR08339234235 FIRSTHALFEXPLA RENON HEALTH (Ref# NEFTINW-1532048756)	5,390.00 	Earning Related to Salary	5,484.56 
2	4	16-Apr-26		NEFT AXOBR10622405737 EXPLA RENON HEALTHCARE PVT (Ref# NEFTINW-1556467227)	9,624.00 	Earning Related to Salary	49,045.56 
